sku|store_number|description|regular_price|dept_code|sale_price|sale_qty|promo_start_date|promo_end_date|promo_min_qty|promo_limit_qty|promo_buy_qty|promo_get_qty|promo_tag|family_sale_code|tax_pct|bottle_deposit|cool|brand_name|product_name|size|uom|scale_flag|how_to_sell|avg_weight|wgt_selector|item_location
00030100506560|72|KEEBLER TOWN HOUSE FLATBREAD S|3.99|90|4.00|2|2018/06/28|2018/07/04|0|0|||Giant Eagle Advantage Card Price|15017421||||||9.50|OZ|N||||
00030100506591|72|KEEBLER TOWN HOUSE FLATBRD ITL|3.99|90|4.00|2|2018/06/28|2018/07/04|0|0|||Giant Eagle Advantage Card Price|15017421||||||9.50|OZ|N||||
00044000024567|72|NBC CHIP AHOY PB CUPS|2.99|90|1.99|1|2018/06/28|2018/07/04|0|0|||Giant Eagle Advantage Card Price|15110554||||||9.5|OZ|N||||
00047677391307|72|DOVE BARS CHCLT DARK CHCLT|3.99|96|10.00|3|2018/06/21|2018/08/01|0|0|||Giant Eagle Advantage Card Price|15023218||||||3|CT|N||||
00049568020167|72|FOLLOW VEGENAISE GRAPESEED OIL|6.99|4||||||||||||||||16|OZ|N||||
00070560977715|72|PICTSWEET EDAMAME  W/SEA SALE|2.79|36||||||||||14979842||||||10|OZ|N||||
00312843024717|72|MIDOL MX MENSTRUAL CAP|4.49|10||||||||||||||||16|CT|N||||
00035457770039|72|MAMA MARYS 7" PIZZA CRUST 3PK|3.79|69||||||||||||||||16|OZ|N||||
00000000049245|72|BULK IN SHELL ALMONDS USA|4.79|4||||||||||||||||1|LB|N||||
00744473470464|72|SO DELICIOUS COCO MLK CK DOUGH|5.99|96|4.99|1|2017/12/28|2018/07/18|0|0|||Giant Eagle Advantage Card Price|14005951||||||16|OZ|N||||
00787647851867|72|CLEARLIFE ALLERGY RELIEF TAB|11.99|10||||||||||||||||1|EA|N||||
00787647101764|72|T-RELIEF ARNICA PAIN RELIEF OI|22.99|10|11.49|1|2018/04/19|2018/10/17|0|0|||Giant Eagle Advantage Card Price|||||||3.53|OZ|N||||
00744473472116|72|SO DEL MINIS VANILLA SANDWICH|5.79|96||||||||||||||||8|CT|N||||
00744473474127|72|SO DEL MINIS COCONUT ALMOND|5.79|96||||||||||||||||4|CT|N||||
00022200968010|72|SPEEDSTICK STAIN FRESH INV SLD|4.29|110|2.99|1|2018/06/28|2018/07/04|0|0|||Giant Eagle Advantage Card Price|15085997||||||2.70|OZ|N||||
00035733005763|72|TURNER'S PEACH TEA|2.89|35||||||||||||||||128|OZ|N||||
00237998000006|72|BAR CAKE CHOCOLATE LOVERS|5.99|58||||||||||||||||13|OZ|Y||||
00267998000003|72|8" SL CHOC TRIPLE CHOC CAKE|7.99|58||||||||||||||||22|OZ|Y||||
00036800360921|72|TC CAPSAICIN NO TOUCH APPLCTOR|6.49|10||||||||||||||||1|OZ|N||||
00036800281509|72|TC HEATWRAPS NECK/SHYLDER/WRST|5.79|10||||||||||||||||3|CT|N||||
00036800281516|72|TC HEATWRAPS BACK & HIP 2CT|5.79|10||||||||||||||||2|CT|N||||
00036800175686|72|TC ALL DAY PAIN RLF TAB NAPROX|3.49|10||||||||||||||||24|CT|N||||
00036800175648|72|TC ALL DAY PAIN RLF CAP NAPROX|3.49|10||||||||||||||||24|CT|N||||
00761657901446|72|MONTCHEVRE MINI CABRIE-CD|5.99|19||||||||||||||||4.40|OZ|N||||
00024842331115|72|BUITONI REDC FAT PESTO SAUCE|5.99|3||||||||||||||||7|OZ|N||||
00022700127047|72|CG LSHBLT FUSIN CD VRY BLACK|8.99|49||||||||||||||||0.44|OZ|N||||
00022700127054|72|CG LSHBLT FUSIN CD BLACK|8.99|49||||||||||||||||0.44|OZ|N||||
00022700127061|72|CG LSHBLT FUSIN CD BLACK/BROWN|8.99|49||||||||||||||||0.44|OZ|N||||
00041331027021|72|GOYA LS YELLOW RICE|2.29|1||||||||||||||||8|OZ|N||||
00267948000008|72|TORTE MD BURNT ALMOND|20.99|58||||||||||||||||45|OZ|Y||||
00257888000008|72|TORTE MD COOKIES AND CREAM|20.99|58||||||||||||||||45|OZ|Y||||
00267888000007|72|TORTE MD FUDGE CROWN|20.99|58||||||||||||||||45|OZ|Y||||
00017000085180|72|DIAL LIQ HND SP MXD VAN/CHRY|1.25|110|10.00|10|2018/06/28|2018/07/04|0|0|||Giant Eagle Advantage Card Price|15066348||||||7.50|OZ|N||||
00053796801627|72|TEEFILTER LARGE PACK  OF 100|6.99|11||||||||||||||||1|EA|N||||
00041000072376|72|LIPTON ACAI/BLUBERRY GREEN TEA|2.59|67||||||||||||||||20|CT|N||||
00041000072383|72|LIPTON RED RASPBERRY GREEN TEA|2.59|67||||||||||||||||20|CT|N||||
00041000072390|72|LIPTON WHT MANGO PEACH GRN TEA|2.59|67||||||||||||||||20|CT|N||||
00080878042203|72|PANTENE 2N1 FINE FLAT TO VOLME|4.49|49|11.00|3|2018/06/28|2018/07/04|0|0|||Giant Eagle Advantage Card Price|15068584||||||12.60|OZ|N||||
00070734519505|72|CLST SEAS SLEEPY GRN LEMON JAS|2.99|67||||||||||||||||20|CT|N||||
00012546308038|72|DENTYNE PURE MINT HERBAL GUM|3.29|68||||||||||||||||3|PK|N||||
00080878042166|72|PANTENE SHMP FINE FLAT TO VOLM|4.49|49|11.00|3|2018/06/28|2018/07/04|0|0|||Giant Eagle Advantage Card Price|15068584||||||12.60|OZ|N||||
00080878042197|72|PANTENE COND FINE FLAT TO VOLM|4.49|49|11.00|3|2018/06/28|2018/07/04|0|0|||Giant Eagle Advantage Card Price|15068584||||||12|OZ|N||||
00080878042227|72|PANTENE SHP MD/THK FRZY-SMOOTH|4.49|49|11.00|3|2018/06/28|2018/07/04|0|0|||Giant Eagle Advantage Card Price|15068584||||||12.60|OZ|N||||
00080878042258|72|PANTENE COND MD/THK FRZY-SMTH|4.49|49|11.00|3|2018/06/28|2018/07/04|0|0|||Giant Eagle Advantage Card Price|15068584||||||12|OZ|N||||
00080878042272|72|PANTENE 2N1 MD/THK FRZY-SMOOTH|4.49|49|11.00|3|2018/06/28|2018/07/04|0|0|||Giant Eagle Advantage Card Price|15068584||||||12.60|OZ|N||||
00080878042333|72|PANTENE SHMP COLOR PRSRV VOLME|4.49|49|11.00|3|2018/06/28|2018/07/04|0|0|||Giant Eagle Advantage Card Price|15068584||||||12.60|OZ|N||||
00080878042364|72|PANTENE COND COLOR PRSRV VOLME|4.49|49|11.00|3|2018/06/28|2018/07/04|0|0|||Giant Eagle Advantage Card Price|15068584||||||12|OZ|N||||
00080878042357|72|PANTENE SHMP COLOR PRSRV SHINE|4.49|49|11.00|3|2018/06/28|2018/07/04|0|0|||Giant Eagle Advantage Card Price|15068584||||||12.60|OZ|N||||
00080878042388|72|PANTENE COND COLOR PRSRV SHINE|4.49|49|11.00|3|2018/06/28|2018/07/04|0|0|||Giant Eagle Advantage Card Price|15068584||||||12|OZ|N||||
00080878042289|72|PANTENE SHMP CURLY DRY-MOISTRZ|4.49|49|11.00|3|2018/06/28|2018/07/04|0|0|||Giant Eagle Advantage Card Price|15068584||||||12.60|OZ|N||||
